event_id,event_name
140,UFC 256: Figueiredo vs. Moreno
141,UFC Fight Night: Hermansson vs. Vettori
142,UFC Fight Night: Smith vs. Clark
143,UFC 255: Figueiredo vs. Perez
144,UFC Fight Night: Felder vs. Dos Anjos
145,UFC Fight Night: Santos vs. Teixeira
146,UFC Fight Night: Hall vs. Silva
147,UFC 254: Khabib vs. Gaethje
148,UFC Fight Night: Ortega vs. The Korean Zombie
149,UFC Fight Night: Moraes vs. Sandhagen
150,UFC Fight Night: Holm vs. Aldana
151,UFC 253: Adesanya vs. Costa
152,UFC Fight Night: Covington vs. Woodley
153,UFC Fight Night: Waterson vs. Hill
154,UFC Fight Night: Overeem vs. Sakai
155,UFC Fight Night: Smith vs. Rakic
156,UFC Fight Night: Munhoz vs. Edgar
157,UFC 252: Miocic vs. Cormier 3
158,UFC Fight Night: Lewis vs. Oleinik
159,UFC Fight Night: Brunson vs. Shahbazyan
160,UFC Fight Night: Whittaker vs. Till
161,UFC Fight Night: Figueiredo vs. Benavidez 2
162,UFC Fight Night: Kattar vs. Ige
163,UFC 251: Usman vs. Masvidal
164,UFC Fight Night: Poirier vs. Hooker
165,UFC Fight Night: Blaydes vs. Volkov
166,UFC Fight Night: Eye vs. Calvillo
167,UFC 250: Nunes vs. Spencer
168,UFC Fight Night: Woodley vs. Burns
169,UFC Fight Night: Overeem vs. Harris
170,UFC Fight Night: Smith vs. Teixeira
171,UFC 249: Ferguson vs. Gaethje
172,UFC Fight Night: Lee vs. Oliveira
173,UFC 248: Adesanya vs. Romero
174,UFC Fight Night: Benavidez vs. Figueiredo
175,UFC Fight Night: Felder vs. Hooker
176,UFC Fight Night: Anderson vs. Blachowicz
177,UFC 247: Jones vs. Reyes
178,UFC Fight Night: Blaydes vs. Dos Santos
179,UFC 246: McGregor vs. Cowboy
180,UFC Fight Night: Edgar vs. The Korean Zombie
181,UFC 245: Usman vs. Covington
182,UFC Fight Night: Overeem vs. Rozenstruik
183,UFC Fight Night: Blachowicz vs. Jacare
184,UFC Fight Night: Zabit vs. Kattar
185,UFC 244: Masvidal vs. Diaz
186,UFC Fight Night: Maia vs. Askren
187,UFC Fight Night: Reyes vs. Weidman
188,UFC Fight Night: Joanna vs. Waterson
189,UFC 243: Whittaker vs. Adesanya
190,UFC Fight Night: Hermansson vs. Cannonier
191,UFC Fight Night: Rodriguez vs. Stephens
192,UFC Fight Night: Cowboy vs. Gaethje
193,UFC 242: Khabib vs. Poirier
194,UFC Fight Night: Andrade vs. Zhang
195,UFC 241: Cormier vs. Miocic 2
196,UFC Fight Night: Shevchenko vs. Carmouche 2
197,UFC Fight Night: Covington vs. Lawler
198,UFC 240: Holloway vs. Edgar
199,UFC Fight Night: Dos Anjos vs. Edwards
200,UFC Fight Night: De Randamie vs. Ladd
201,UFC 239: Jones vs. Santos
202,UFC Fight Night: Ngannou vs. Dos Santos
203,UFC Fight Night: Moicano vs. The Korean Zombie
204,UFC 238: Cejudo vs. Moraes
205,UFC Fight Night: Gustafsson vs. Smith
206,UFC Fight Night: Dos Anjos vs. Lee
207,UFC 237: Namajunas vs. Andrade
208,UFC Fight Night: Iaquinta vs. Cowboy
209,UFC Fight Night: Jacare vs. Hermansson
210,UFC Fight Night: Overeem vs. Oleinik
211,UFC 236: Holloway vs. Poirier 2
212,UFC Fight Night: Barboza vs. Gaethje
213,UFC Fight Night: Thompson vs. Pettis
214,UFC Fight Night: Till vs. Masvidal
215,UFC Fight Night: Lewis vs. Dos Santos
216,UFC 235: Jones vs. Smith
217,UFC Fight Night: Blachowicz vs. Santos
218,UFC Fight Night: Ngannou vs. Velasquez
219,UFC 234: Adesanya vs. Silva
220,UFC Fight Night: Assuncao vs. Moraes 2
221,UFC Fight Night: Cejudo vs. Dillashaw
222,UFC 232: Jones vs. Gustafsson 2
223,UFC Fight Night: Lee vs. Iaquinta
224,UFC 231: Holloway vs. Ortega
225,UFC Fight Night: Dos Santos vs. Tuivasa
226,The Ultimate Fighter: Heavy Hitters Finale
227,UFC Fight Night: Blaydes vs. Ngannou 2
228,UFC Fight Night: Magny vs. Ponzinibbio
229,UFC Fight Night: Korean Zombie vs. Rodriguez
230,UFC 230: Cormier vs. Lewis
231,UFC Fight Night: Oezdemir vs. Smith
232,UFC 229: Khabib vs. McGregor
233,UFC Fight Night: Marreta vs. Anders
234,UFC Fight Night: Hunt vs. Oleinik
235,UFC 228: Woodley vs. Till
236,UFC Fight Night: Gaethje vs. Vick
237,UFC 227: Dillashaw vs. Garbrandt 2
238,UFC Fight Night: Alvarez vs. Poirier 2
239,UFC Fight Night: Shogun vs. Smith
240,UFC Fight Night: Dos Santos vs. Ivanov
241,UFC 226: Miocic vs. Cormier
242,The Ultimate Fighter: Undefeated Finale
243,UFC Fight Night: Cowboy vs. Edwards
244,UFC 225: Whittaker vs. Romero 2
245,UFC Fight Night: Rivera vs. Moraes
246,UFC Fight Night: Thompson vs. Till
247,UFC Fight Night: Maia vs. Usman
248,UFC 224: Nunes vs. Pennington
249,UFC Fight Night: Barboza vs. Lee
250,UFC Fight Night: Poirier vs. Gaethje
251,UFC 223: Khabib vs. Iaquinta
252,UFC Fight Night: Werdum vs. Volkov
253,UFC 222: Cyborg vs. Kunitskaya
254,UFC Fight Night: Emmett vs. Stephens
255,UFC Fight Night: Cerrone vs. Medeiros
256,UFC 221: Romero vs. Rockhold
257,UFC Fight Night: Machida vs. Anders
258,UFC Fight Night: Jacare vs. Brunson 2
259,UFC 220: Miocic vs. Ngannou
260,UFC Fight Night: Stephens vs. Choi
261,UFC 219: Cyborg vs. Holm
262,UFC Fight Night: Lawler vs. Dos Anjos
263,UFC Fight Night: Swanson vs. Ortega
264,UFC 218: Holloway vs. Aldo 2
265,The Ultimate Fighter: A New World Champion Finale
266,UFC Fight Night: Bisping vs. Gastelum
267,UFC Fight Night: Werdum vs. Tybura
268,UFC Fight Night: Poirier vs. Pettis
269,UFC 217: Bisping vs. St-Pierre
270,UFC Fight Night: Brunson vs. Machida
271,UFC Fight Night: Cerrone vs. Till
272,UFC 216: Ferguson vs. Lee
273,UFC Fight Night: Saint Preux vs. Okami
274,UFC Fight Night: Rockhold vs. Branch
275,UFC 215: Nunes vs Shevchenko 2
276,UFC Fight Night: Volkov vs. Struve
277,UFC Fight Night: Pettis vs. Moreno
278,UFC 214: Cormier vs. Jones 2
279,UFC Fight Night: Weidman vs. Gastelum
280,UFC Fight Night: Nelson vs. Ponzinibbio
281,UFC 213: Romero vs. Whittaker
282,The Ultimate Fighter: Redemption Finale
283,UFC Fight Night: Chiesa vs. Lee
284,UFC Fight Night: Holm vs. Correia
285,UFC Fight Night: Lewis vs. Hunt
286,UFC 212: Aldo vs. Holloway
287,UFC Fight Night: Gustafsson vs. Teixeira
288,UFC 211: Miocic vs. Dos Santos
289,UFC Fight Night: Swanson vs. Lobov
290,UFC on FOX: Johnson vs. Reis
291,UFC 210: Cormier vs. Johnson 2
292,UFC Fight Night: Manuwa vs. Anderson
293,UFC Fight Night: Belfort vs. Gastelum
294,UFC 209: Woodley vs. Thompson 2
295,UFC Fight Night: Lewis vs. Browne
296,UFC 208: Holm vs. De Randamie
297,UFC Fight Night: Bermudez vs. The Korean Zombie
298,UFC on FOX: Shevchenko vs. Pena
299,UFC Fight Night: Rodriguez vs. Penn
300,UFC 207: Nunes vs. Rousey
301,UFC on FOX: VanZant vs. Waterson
302,UFC 206: Holloway vs. Pettis
303,UFC Fight Night: Lewis vs. Abdurakhimov
304,The Ultimate Fighter: Tournament of Champions Finale
305,UFC Fight Night: Whittaker vs. Brunson
306,UFC Fight Night: Bader vs. Nogueira
307,UFC Fight Night: Mousasi vs. Hall 2
308,UFC 205: Alvarez vs McGregor
309,UFC Fight Night: Dos Anjos vs. Ferguson
310,UFC 204: Bisping vs. Henderson
311,UFC Fight Night: Lineker vs. Dodson
312,UFC Fight Night: Cyborg vs. Lansberg
313,UFC Fight Night: Poirier vs. Johnson
314,UFC 203: Miocic vs. Overeem
315,UFC Fight Night: Arlovski vs. Barnett
316,UFC on FOX: Maia vs. Condit
317,UFC 202: Diaz vs. McGregor 2
318,UFC Fight Night: Rodriguez vs. Caceres
319,UFC 201: Lawler vs. Woodley
320,UFC on FOX: Holm vs. Shevchenko
321,UFC Fight Night: McDonald vs. Lineker
322,UFC 200: Tate vs Nunes
323,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale
324,UFC Fight Night: Dos Anjos vs. Alvarez
325,UFC Fight Night: MacDonald vs Thompson
326,UFC 199: Rockhold vs. Bisping 2
327,UFC Fight Night: Almeida vs Garbrandt
328,UFC 198: Werdum vs Miocic
329,UFC Fight Night: Overeem vs Arlovski
330,UFC 197: Jones vs Saint Preux
331,UFC on FOX: Teixeira vs Evans
332,UFC Fight Night: Rothwell vs Dos Santos
333,UFC Fight Night: Hunt vs Mir
334,UFC 196: McGregor vs Diaz
335,UFC Fight Night: Silva vs Bisping
336,UFC Fight Night: Cowboy vs Cowboy
337,UFC Fight Night: Hendricks vs Thompson
338,UFC on FOX: Johnson vs. Bader
339,UFC Fight Night: Dillashaw vs Cruz
340,UFC 195: Lawler vs Condit
341,UFC on FOX: Dos Anjos vs. Cowboy 2
342,UFC 194: Aldo vs McGregor
343,The Ultimate Fighter: Team McGregor vs. Team Faber Finale
344,UFC Fight Night: Namajunas vs. VanZant
345,UFC Fight Night: Henderson vs Masvidal
346,UFC Fight Night: Magny vs Gastelum
347,UFC 193: Rousey vs Holm
348,UFC Fight Night: Belfort vs Henderson 3
349,UFC Fight Night: Holohan vs Smolka
350,UFC 192: Cormier vs Gustafsson
351,UFC Fight Night: Barnett vs Nelson
352,UFC 191: Johnson vs Dodson 2
