event_id,event_name
633,UFC 47: It's On!
634,UFC 46: Supernatural
635,UFC 45: Revolution
636,UFC 44: Undisputed
637,UFC 43: Meltdown
638,UFC 42: Sudden Impact
639,UFC 41: Onslaught
640,UFC 40: Vendetta
641,UFC 39: The Warriors Return
642,UFC 38: Brawl at the Hall
643,UFC 37.5: As Real As It Gets
644,UFC 37: High Impact
645,UFC 36: Worlds Collide
646,UFC 35: Throwdown
647,UFC 34: High Voltage
648,UFC 33: Victory in Vegas
649,UFC 32: Showdown in the Meadowlands
650,UFC 31: Locked and Loaded
651,UFC 30: Battle on the Boardwalk
652,UFC 29: Defense of the Belts
653,UFC 28: High Stakes
654,UFC 27: Ultimate Bad Boyz
655,UFC 26: Ultimate Field Of Dreams
656,UFC 25: Ultimate Japan 3
657,UFC 24: First Defense
658,UFC 23: Ultimate Japan 2
659,UFC 22: Only One Can be Champion
660,UFC 21: Return of the Champions
661,UFC 20: Battle for the Gold
662,UFC 19: Ultimate Young Guns
663,UFC 18: The Road to the Heavyweight Title
664,UFC - Ultimate Brazil
665,UFC 17: Redemption
666,UFC 16: Battle in the Bayou
667,UFC - Ultimate Japan
668,UFC 15: Collision Course
669,UFC 14: Showdown
670,UFC 13: The Ultimate Force
671,UFC 12: Judgement Day
672,UFC - Ultimate Ultimate '96
673,UFC 11: The Proving Ground
674,UFC 10: The Tournament
675,UFC 9: Motor City Madness
676,UFC 8: David vs Goliath
677,UFC - Ultimate Ultimate '95
678,UFC 7: The Brawl in Buffalo
679,UFC 6: Clash of the Titans
680,UFC 5: The Return of the Beast
681,UFC 4: Revenge of the Warriors
682,UFC 3: The American Dream
683,UFC 2: No Way Out
