event_id,r_fighter,b_fighter,winner,weight_class,is_title_bout,gender,method,finish_round,total_rounds,time_sec,referee,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_reach,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_reach,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,kd_diff,sig_str_diff,sig_str_att_diff,sig_str_acc_diff,str_diff,str_att_diff,str_acc_diff,td_diff,td_att_diff,td_acc_diff,sub_att_diff,rev_diff,ctrl_sec_diff,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff,r_stance_encoded,b_stance_encoded,winner_encoded,method_encoded,gender_encoded,weight_class_encoded
194,Ricky Simon,Ray Borg,Red,Bantamweight,0,Men,Decision - Split,3,3.0,300,Unknown,0,67,144,0.46,93,170,0.55,7,11,0.63,0,0,323,20,5,31.0,167.64,61.23,175.26,Orthodox,3.01,3.61,0.43,0.46,0.61,0.76,0.4,5.49,0,47,91,0.51,53,98,0.54,0,2,0.0,0,1,30,13,5,30.0,162.56,61.23,160.02,Orthodox,1.52,1.93,0.52,0.5,0.48,0.46,1.0,3.89,0,20,53,-0.0499999999999999,40,72,0.01,7,9,0.63,0,-1,293,7,0,1.0,5.079999999999984,0.0,15.23999999999998,1.4899999999999998,1.68,-0.09,-0.0399999999999999,0.13,0.3,-0.6,1.6,1,1,1,2.0,0,0
194,Andrei Arlovski,Philipe Lins,Red,Heavyweight,0,Men,Decision - Unanimous,3,3.0,300,Herb Dean,0,50,107,0.46,50,107,0.47,0,0,0.0,0,0,0,34,23,45.0,190.5,108.86,195.58,Orthodox,3.78,3.2,0.45,0.36,0.57,0.76,0.2,0.38,0,41,99,0.41,41,99,0.41,0,0,0.0,0,0,7,18,5,38.0,187.96,92.99,198.12,Orthodox,3.8,3.59,0.49,0.33,0.46,1.0,0.0,1.65,0,9,8,0.05,9,8,0.06,0,0,0.0,0,0,-7,16,18,7.0,2.539999999999992,15.870000000000005,-2.539999999999992,-0.02,-0.3899999999999997,-0.0399999999999999,0.0299999999999999,0.1099999999999999,-0.24,0.2,-1.27,1,1,1,3.0,0,4
194,Michael Johnson,Thiago Moises,Blue,Lightweight,0,Men,Submission,2,3.0,25,Keith Peterson,0,27,60,0.45,28,61,0.46,0,0,0.0,0,0,21,23,19,37.0,177.8,70.31,185.42,Southpaw,4.27,3.83,0.39,0.41,0.57,0.81,0.0,0.62,0,1,16,0.06,1,16,0.06,0,3,0.0,1,0,0,18,7,29.0,175.26,70.31,177.8,Orthodox,2.47,4.19,0.4,0.44,0.55,0.56,1.3,1.64,0,26,44,0.39,27,45,0.4,0,-3,0.0,-1,0,21,5,12,8.0,2.5400000000000205,0.0,7.619999999999976,1.7999999999999994,-0.3600000000000003,-0.01,-0.03,0.0199999999999999,0.25,-1.3,-1.02,3,1,0,5.0,0,6
194,Sijara Eubanks,Sarah Moras,Red,Women's Bantamweight,0,Women,Decision - Unanimous,3,3.0,300,Michael Cardoso,0,85,171,0.49,104,190,0.55,2,2,1.0,0,0,254,8,7,38.0,162.56,56.7,170.18,Orthodox,4.3,3.43,0.43,0.44,0.57,0.66,0.3,1.9,0,44,138,0.31,84,179,0.47,0,1,0.0,0,0,0,6,8,35.0,170.18,61.23,170.18,Orthodox,2.28,3.58,0.34,0.21,0.5,0.33,0.8,0.67,0,41,33,0.18,20,11,0.08,2,1,1.0,0,0,254,2,-1,3.0,-7.620000000000003,-4.529999999999994,0.0,2.02,-0.1499999999999999,0.0899999999999999,0.23,0.0699999999999999,0.33,-0.5,1.23,1,1,1,3.0,1,105
194,Gabriel Benitez,Omar Morales,Blue,Lightweight,0,Men,Decision - Unanimous,3,3.0,300,Dan Miragliotta,0,50,179,0.27,50,179,0.28,0,1,0.0,0,0,0,23,12,35.0,172.72,70.31,180.34,Southpaw,4.92,4.26,0.41,0.5,0.62,0.55,1.0,0.24,0,63,215,0.29,63,215,0.29,0,0,0.0,0,0,0,11,4,38.0,180.34,70.31,185.42,Orthodox,3.42,3.18,0.4,1.0,0.58,0.63,0.0,0.46,0,-13,-36,-0.0199999999999999,-13,-36,-0.0099999999999999,0,1,0.0,0,0,0,12,8,-3.0,-7.620000000000003,0.0,-5.079999999999984,1.5,1.0799999999999996,0.0099999999999999,-0.5,0.04,-0.0799999999999999,1.0,-0.22,3,1,0,3.0,0,6
194,Hunter Azure,Brian Kelleher,Blue,Featherweight,0,Men,KO/TKO,2,3.0,220,Jason Herzog,0,62,132,0.46,67,139,0.48,0,0,0.0,0,0,21,9,2,32.0,172.72,65.77,175.26,Orthodox,3.92,2.08,0.53,0.34,0.58,0.67,1.3,1.97,1,29,99,0.29,32,102,0.31,0,4,0.0,0,0,29,24,15,37.0,167.64,61.23,167.64,Switch,3.39,4.64,0.41,0.41,0.54,0.6,0.7,1.74,-1,33,33,0.17,35,37,0.1699999999999999,0,-4,0.0,0,0,-8,-15,-13,-5.0,5.0800000000000125,4.539999999999999,7.620000000000003,0.5299999999999998,-2.56,0.12,-0.0699999999999999,0.0399999999999999,0.07,0.6000000000000001,0.2299999999999999,1,4,0,4.0,0,2
194,Chase Sherman,Ike Villanueva,Red,Heavyweight,0,Men,KO/TKO,2,3.0,49,Michael Cardoso,1,51,87,0.58,51,87,0.59,0,0,0.0,0,0,0,16,12,34.0,193.04,113.4,198.12,Orthodox,6.04,6.65,0.45,0.5,0.52,0.74,0.0,0.09,0,16,54,0.29,16,54,0.3,0,0,0.0,0,0,0,18,14,39.0,185.42,92.99,185.42,Orthodox,3.66,7.24,0.38,0.5,0.36,1.0,0.0,0.6,1,35,33,0.29,35,33,0.29,0,0,0.0,0,0,0,-2,-2,-5.0,7.620000000000003,20.41000000000001,12.700000000000015,2.38,-0.5899999999999999,0.07,0.0,0.16,-0.26,0.0,-0.51,1,1,1,4.0,0,4
195,Tony Ferguson,Justin Gaethje,Blue,UFC Interim Lightweight Title,1,Men,KO/TKO,5,5.0,219,Herb Dean,0,136,296,0.45,136,296,0.46,0,0,0.0,0,0,0,26,10,40.0,180.34,70.31,193.04,Orthodox,4.94,4.41,0.45,0.35,0.55,0.67,0.9,0.39,0,143,197,0.72,143,197,0.73,0,0,0.0,0,0,0,25,4,35.0,180.34,70.31,177.8,Orthodox,7.35,7.5,0.6,0.25,0.53,0.75,0.0,0.13,0,-7,99,-0.2699999999999999,-7,99,-0.2699999999999999,0,0,0.0,0,0,0,1,6,5.0,0.0,0.0,15.23999999999998,-2.41,-3.09,-0.1499999999999999,0.0999999999999999,0.02,-0.0799999999999999,0.9,0.26,1,1,0,4.0,0,35
195,Henry Cejudo,Dominick Cruz,Red,UFC Bantamweight Title,1,Men,KO/TKO,2,5.0,298,Keith Peterson,1,53,83,0.63,56,86,0.65,1,5,0.2,0,0,14,16,4,37.0,162.56,61.23,162.56,Orthodox,3.77,3.29,0.46,0.32,0.6,0.75,0.2,1.99,0,33,81,0.4,33,81,0.41,0,4,0.0,0,0,0,24,4,39.0,172.72,61.23,172.72,Orthodox,3.91,2.61,0.33,0.42,0.7,0.83,0.1,2.82,1,20,2,0.2299999999999999,23,5,0.24,1,1,0.2,0,0,14,-8,0,-2.0,-10.159999999999997,0.0,-10.159999999999997,-0.1400000000000001,0.6800000000000002,0.13,-0.0999999999999999,-0.0999999999999999,-0.0799999999999999,0.1,-0.8299999999999998,1,1,1,4.0,0,26
195,Francis Ngannou,Jairzinho Rozenstruik,Red,Heavyweight,0,Men,KO/TKO,1,3.0,20,Dan Miragliotta,1,6,13,0.46,6,13,0.46,0,0,0.0,0,0,2,17,3,37.0,193.04,113.4,210.82,Orthodox,2.33,2.16,0.41,0.62,0.41,0.71,0.3,0.76,0,5,5,1.0,5,5,1.0,0,0,0.0,0,0,0,14,5,36.0,187.96,109.77,198.12,Orthodox,3.44,2.78,0.49,0.0,0.47,0.75,0.0,0.0,1,1,8,-0.54,1,8,-0.54,0,0,0.0,0,0,2,3,-2,1.0,5.079999999999984,3.6300000000000097,12.699999999999989,-1.11,-0.6199999999999997,-0.08,0.62,-0.06,-0.04,0.3,0.76,1,1,1,4.0,0,4
195,Jeremy Stephens,Calvin Kattar,Blue,Featherweight,0,Men,KO/TKO,2,3.0,169,Jason Herzog,0,57,104,0.54,57,104,0.55,0,0,0.0,0,0,6,28,19,37.0,175.26,65.77,180.34,Orthodox,3.17,3.05,0.4,0.38,0.58,0.65,0.4,1.16,1,52,113,0.46,52,113,0.46,0,1,0.0,0,0,6,23,7,36.0,180.34,65.77,182.88,Orthodox,5.12,7.1,0.39,0.29,0.54,0.91,0.1,0.42,-1,5,-9,0.08,5,-9,0.09,0,-1,0.0,0,0,0,5,12,1.0,-5.0800000000000125,0.0,-2.539999999999992,-1.95,-4.05,0.01,0.09,0.0399999999999999,-0.26,0.3,0.74,1,1,0,4.0,0,2
195,Greg Hardy,Yorgan De Castro,Red,Heavyweight,0,Men,Decision - Unanimous,3,3.0,300,Herb Dean,0,55,124,0.44,66,135,0.49,0,0,0.0,0,0,53,7,5,35.0,195.58,120.2,203.2,Orthodox,4.79,3.31,0.5,0.33,0.55,0.64,0.0,0.2,0,24,69,0.34,24,69,0.35,0,0,0.0,0,0,0,6,3,37.0,182.88,113.4,187.96,Orthodox,2.46,3.85,0.43,0.0,0.53,0.77,0.0,0.0,0,31,55,0.0999999999999999,42,66,0.14,0,0,0.0,0,0,53,1,2,-2.0,12.700000000000015,6.799999999999997,15.23999999999998,2.33,-0.54,0.07,0.33,0.02,-0.13,0.0,0.2,1,1,1,3.0,0,4
195,Anthony Pettis,Donald Cerrone,Red,Welterweight,0,Men,Decision - Unanimous,3,3.0,300,Keith Peterson,0,63,113,0.55,81,133,0.61,0,1,0.0,0,0,0,24,10,37.0,177.8,70.31,182.88,Orthodox,3.05,3.44,0.47,0.5,0.54,0.6,1.1,0.61,0,62,148,0.41,62,148,0.42,2,8,0.25,0,0,106,36,17,40.0,185.42,70.31,185.42,Orthodox,4.41,4.48,0.46,0.33,0.53,0.73,1.2,1.16,0,1,-35,0.14,19,-15,0.19,-2,-7,-0.25,0,0,-106,-12,-7,-3.0,-7.619999999999976,0.0,-2.539999999999992,-1.3600000000000003,-1.0400000000000005,0.0099999999999999,0.1699999999999999,0.01,-0.13,-0.0999999999999998,-0.5499999999999999,1,1,1,3.0,0,104
195,Aleksei Oleinik,Fabricio Werdum,Red,Heavyweight,0,Men,Decision - Split,3,3.0,300,Herb Dean,0,94,183,0.51,149,241,0.62,0,0,0.0,0,1,233,60,17,46.0,187.96,108.86,203.2,Orthodox,3.29,3.8,0.48,0.46,0.44,0.37,1.9,1.82,0,53,83,0.63,70,101,0.69,3,7,0.42,1,1,235,24,9,46.0,193.04,104.78,195.58,Orthodox,3.59,2.64,0.52,0.31,0.55,0.31,1.2,1.75,0,41,100,-0.12,79,140,-0.0699999999999999,-3,-7,-0.42,-1,0,-2,36,8,0.0,-5.079999999999984,4.079999999999998,7.619999999999976,-0.2999999999999998,1.1599999999999997,-0.04,0.15,-0.11,0.06,0.7,0.07,1,1,1,2.0,0,4
195,Carla Esparza,Michelle Waterson-Gomez,Red,Women's Strawweight,0,Women,Decision - Split,3,3.0,300,Dan Miragliotta,0,45,103,0.43,48,106,0.45,1,10,0.1,0,0,46,20,7,36.0,154.94,52.16,160.02,Orthodox,2.16,2.69,0.4,0.35,0.55,0.47,0.3,3.22,0,44,98,0.44,44,98,0.45,0,0,0.0,0,0,0,18,12,38.0,160.02,52.16,157.48,Orthodox,3.56,4.19,0.46,0.32,0.49,0.7,0.7,1.42,0,1,5,-0.01,4,8,0.0,1,10,0.1,0,0,46,2,-5,-2.0,-5.0800000000000125,0.0,2.5400000000000205,-1.4,-1.5000000000000004,-0.06,0.0299999999999999,0.06,-0.2299999999999999,-0.3999999999999999,1.8000000000000005,1,1,1,2.0,1,108
